planning_area,area_hdb,area_res,area_other,schools_secondary,hotel_rooms,hh_income_lt_2000,hh_income_gt_17500,ethn_malays,ethn_indians,hh_1person,hh_5person_plus,age_0_9,age_10_19,age_gt_65,edu_no_qual_primary,edu_university,occupation_senior_manager_professional,occupation_cleaners_labourers_plant,dwelling_1_2_room,dwelling_condo_landed,status_unemployed
ANG MO KIO,0.0382151906310989,0.04005159550438,0.0577251125739441,0.430373463922415,0,0.2592,0.1296,0.07472678377295874,0.08096355209704183,0.16613418530351437,0.1900958466453674,0.08268009383761515,0.10076100017165418,0.16255650283229386,0.25653370013755156,0.2434662998624484,0.32181638696939785,0.18756169792694966,0.08945686900958466,0.15814696485623003,0.029262086513994912
BEDOK,0.0320619695280992,0.0835754815727512,0.0445023205735786,0.460125780943516,18.2669935034576,0.20995670995670995,0.20129870129870128,0.15178602243313202,0.08666091458153581,0.13636363636363635,0.23268398268398266,0.08659487816663215,0.10933940774487472,0.14550976737764892,0.19679849340866287,0.2961393596986817,0.3845642049234863,0.13439787092481703,0.04333694474539545,0.3423618634886241,0.025423728813559324
BISHAN,0.0362974655616204,0.0556845499815696,0.0797870005100983,0.525008739566036,0,0.1588447653429603,0.26353790613718414,0.041455347298787214,0.07717750826901874,0.09677419354838711,0.25806451612903225,0.08556621457713089,0.1128018524644393,0.13441393758959091,0.13656387665198239,0.37298091042584436,0.47975708502024295,0.07692307692307693,0.017985611510791366,0.29136690647482016,0.02490170380078637
BUKIT BATOK,0.0465259542569934,0.0175582076330661,0.0404414233438009,0.538925881148912,0,0.17312072892938496,0.15261958997722097,0.14050832854681217,0.09857840321654222,0.11764705882352941,0.2149321266968326,0.0890292935094773,0.12356404365307294,0.09922458357265938,0.18536121673003803,0.282319391634981,0.36015831134564646,0.12928759894459105,0.015873015873015872,0.23582766439909297,0.03413821815154038
BUKIT MERAH,0.0351747004660209,0.00309656307079818,0.0639096558838704,0.276577892834472,110.769446080206,0.3448275862068966,0.12704174228675136,0.08598562628336756,0.09702258726899383,0.2014519056261343,0.1542649727767695,0.0942754460274676,0.08663842895648825,0.18386599922988064,0.26666666666666666,0.2528455284552846,0.3288672350791718,0.18635809987819735,0.21739130434782608,0.06702898550724637,0.024905660377358488
BUKIT PANJANG,0.0410673633802404,0.0178672892687026,0.030675523572372,0.665192906844098,0,0.1089588377723971,0.14527845036319614,0.1599050496331463,0.07409005898431881,0.07281553398058252,0.26941747572815533,0.10758719884933476,0.12858683926645093,0.08795397339086661,0.19230769230769232,0.24859287054409007,0.3196004993757803,0.1585518102372035,0.021844660194174758,0.1674757281553398,0.030100334448160536
BUKIT TIMAH,0.00185774023966235,0.113109275732219,0.0567103457763487,0.171167869493722,7.13199456223842,0.16455696202531647,0.5274261603375527,0.01020545185980932,0.04901302537934739,0.09999999999999999,0.35,0.10471204188481675,0.1292790978654853,0.13961605584642234,0.057034220532319393,0.6102661596958175,0.7398373983739837,0.01897018970189702,0,0.8912133891213389,0.02030456852791878
CHOA CHU KANG,0.0946078521111696,0.0102614386941556,0.0420092713080952,0.980825817634289,0,0.1016260162601626,0.12804878048780488,0.16995525983709991,0.09447057473901571,0.05679513184584178,0.2920892494929006,0.09470001147183664,0.15028105999770563,0.07645979121257312,0.16808018504240557,0.24286815728604474,0.2949640287769784,0.14799588900308325,0.032388663967611336,0.1194331983805668,0.025469168900804286
CLEMENTI,0.0312488728405867,0.0319270934173707,0.0643797855245831,0.525418263175172,0,0.21710526315789475,0.1842105263157895,0.10857704059362723,0.08293321693583589,0.17275747508305647,0.1661129568106312,0.09090909090909091,0.10007639419404125,0.16184655680453996,0.21597633136094677,0.3062130177514793,0.4360086767895879,0.14099783080260303,0.03986710963455149,0.2225913621262458,0.019257221458046765
GEYLANG,0.0344514245391326,0.0383883293309325,0.0980393782211956,0.311101483582434,817.678399349164,0.2346666666666667,0.12,0.13063178592801572,0.08463708643241857,0.17333333333333334,0.17333333333333334,0.08412413439343422,0.10036761562793878,0.15157732751987688,0.23820754716981132,0.2511792452830189,0.32573289902280134,0.16123778501628666,0.12032085561497327,0.20320855614973263,0.024891774891774892
HOUGANG,0.0520172027575482,0.0527747949034364,0.0524165586863398,0.574168775379621,24.9045706320911,0.15372670807453415,0.15527950310559005,0.07939006836991723,0.08114429650953581,0.09034267912772585,0.24454828660436134,0.08276730691376906,0.11722369663982726,0.1208222752012955,0.20609756097560977,0.24390243902439024,0.30737365368682684,0.14581607290803647,0.02332814930015552,0.21461897356143078,0.02382241472658365
JURONG EAST,0.0159233001838931,0.000655265658127994,0.0615748204647507,0.167986166997684,9.29523457387183,0.15748031496062992,0.13385826771653545,0.16166607836216026,0.107659724673491,0.12890624999999997,0.22265625,0.08436286621955524,0.11201317802094364,0.12483821626073655,0.21362229102167185,0.24148606811145512,0.30303030303030304,0.17748917748917747,0.03937007874015748,0.0984251968503937,0.026912181303116144
JURONG WEST,0.0593287732394174,0.00859469832773414,0.0555341169583559,0.613056465959453,0,0.14180929095354522,0.10513447432762837,0.17834745296512267,0.0993508636813731,0.08455882352941177,0.2610294117647059,0.10818938643781861,0.12733340668206988,0.08475446510433857,0.20872865275142313,0.22580645161290322,0.27049180327868855,0.18600252206809584,0.03553921568627451,0.07230392156862746,0.027647809442790303
KALLANG,0.0313085633792768,0.0122495704521362,0.0913497212894467,0.109052423811149,715.820109896382,0.24109589041095889,0.1506849315068493,0.07884596383756545,0.1428712577808517,0.22252747252747251,0.1620879120879121,0.08675032111451438,0.09119652208279815,0.17142574844382968,0.24296675191815859,0.2851662404092072,0.3651079136690647,0.14748201438848918,0.15616438356164383,0.2191780821917808,0.0294811320754717
MARINE PARADE,0.0109985323100072,0.0866342045482041,0.0408011918057153,0.815028964122222,171.319088258491,0.2450331125827815,0.2715231788079471,0.07202955058485533,0.12333264929201723,0.14569536423841062,0.19205298013245034,0.1003488610712087,0.10855735686435461,0.16745331418017648,0.13069908814589665,0.4072948328267477,0.5581395348837209,0.06976744186046512,0.09210526315789473,0.5197368421052632,0.02506963788300836
NOVENA,0.00952596832789972,0.0585210495888484,0.0679739400753934,0.223014856190423,288.358209054217,0.17610062893081763,0.32075471698113206,0.04396749322775578,0.08772660971035633,0.1337579617834395,0.19745222929936307,0.10481350281308606,0.10523025630339654,0.15294853094394667,0.18128654970760233,0.435672514619883,0.5062761506276151,0.11715481171548119,0.056962025316455694,0.5506329113924051,0.02150537634408602
OUTRAM,0.0761954212038999,0.0148435451069965,0.173522504741662,0,3225.34532028859,0.3214285714285714,0.14285714285714285,0.08740942028985507,0.07201086956521739,0.25,0.09523809523809523,0.10733695652173914,0.06612318840579709,0.19972826086956524,0.23636363636363636,0.26666666666666666,0.3162393162393162,0.17094017094017094,0.29411764705882354,0.09411764705882353,0.011560693641618497
PASIR RIS,0.0288351925543214,0.0169455626329693,0.0315108461896258,0.253011169038009,2.7198700671586,0.09852216748768472,0.18226600985221675,0.20315962541997284,0.08520980770605475,0.07125307125307125,0.29975429975429974,0.09191623186334072,0.15259809877778574,0.08005146165392037,0.12180746561886052,0.23772102161100198,0.3354673495518566,0.08322663252240718,0.017241379310344827,0.229064039408867,0.03098827470686767
PUNGGOL,0.0505695767152025,0.00294799666349801,0.0246671373781489,0.319919773965045,0,0.0960960960960961,0.11411411411411412,0.13192419825072887,0.07033527696793003,0.054380664652567974,0.18126888217522658,0.19316628701594535,0.09694760820045559,0.06186788154897494,0.13161290322580646,0.34451612903225803,0.3884297520661157,0.09586776859504131,0.05421686746987951,0.04216867469879518,0.02173913043478261
